Transaction ID,Customer ID,Amount,Transaction Type,Transaction Date
1001,1,5000,Debit,01/04/2024
1002,2,10000,Credit,02/04/2024
1003,3,7500,Debit,03/04/2024
1004,1,3000,Credit,04/04/2024
1005,4,12000,Debit,05/04/2024
1006,5,4500,Credit,06/04/2024
1007,2,8000,Debit,07/04/2024
1008,6,15000,Credit,08/04/2024
1009,7,2500,Debit,09/04/2024
1010,3,6000,Credit,10/04/2024
1011,8,9500,Debit,11/04/2024
1012,4,3500,Credit,12/04/2024
1013,5,11000,Debit,13/04/2024
1014,6,1500,Credit,14/04/2024
1015,7,20000,Credit,15/04/2024
1016,8,4000,Debit,16/04/2024
1017,1,8500,Debit,17/04/2024
1018,2,6500,Credit,18/04/2024
